,stars,lands,sorcery,enchant,creature,mv,white,blue,black,red,green
119,0,23,27,4,15,2.5384615384615383,0.43478260869565205,0.565217391304347,0.0,0.0,0.0
118,0,18,13,21,21,1.631578947368421,0.7352941176470581,0.0,0.0,0.264705882352941,0.0
117,0,22,39,0,14,1.7547169811320755,0.185185185185185,0.74074074074074,0.0,0.074074074074074,0.0
115,0,24,38,4,8,2.24,0.5,0.25,0.25,0.0,0.0
114,0,17,40,0,8,1.48,0.0,0.15384615384615302,0.0,0.846153846153846,0.0
112,0,16,20,6,33,1.728813559322034,0.0,0.0,0.0,0.0,1.0
111,0,24,40,4,7,2.3529411764705883,0.0,0.7812500000000001,0.0,0.21875000000000003,0.0
109,0,20,13,1,37,1.8627450980392157,0.379310344827586,0.0,0.620689655172413,0.0,0.0
108,0,12,12,2,33,3.1333333333333333,0.0,0.384615384615384,0.461538461538461,0.0,0.15384615384615302
78,0,24,26,9,15,3.843137254901961,0.555555555555555,0.44444444444444403,0.0,0.0,0.0
71,0,25,37,0,9,1.8,0.0,1.0,0.0,0.0,0.0
76,0,20,20,3,8,2.0,0.37142857142857105,0.0,0.2,0.37142857142857105,0.057142857142857
75,0,25,34,9,7,2.0416666666666665,0.0,0.32,0.46,0.0,0.22
33,0,25,37,5,6,3.1739130434782608,0.482758620689655,0.5172413793103441,0.0,0.0,0.0
32,0,20,20,20,20,1.75,0.583333333333333,0.0,0.0,0.416666666666666,0.0
31,0,24,12,0,36,5.0,0.0,0.0,0.0,0.08333333333333301,0.9166666666666661
30,0,20,35,4,6,3.176470588235294,0.08163265306122401,0.0,0.0,0.9183673469387751,0.0
29,0,18,10,0,47,2.087719298245614,0.684210526315789,0.0,0.0,0.157894736842105,0.157894736842105
28,0,16,26,0,33,1.7118644067796611,0.0,0.0,1.0,0.0,0.0
27,0,24,27,0,4,1.8611111111111112,0.48387096774193505,0.0,0.5161290322580641,0.0,0.0
26,0,24,25,0,22,3.4313725490196076,0.7142857142857141,0.14285714285714202,0.14285714285714202,0.0,0.0
25,0,20,23,0,28,1.8,0.914893617021276,0.0,0.0,0.0,0.085106382978723
23,0,17,22,0,36,1.8620689655172413,0.0,0.0,1.0,0.0,0.0
22,0,24,33,0,11,2.522727272727273,0.0,0.0,1.0,0.0,0.0
21,0,18,35,0,18,1.5660377358490567,0.0,0.0,0.322033898305084,0.677966101694915,0.0
20,0,17,21,4,33,1.603448275862069,0.0,0.0,0.016949152542372,0.016949152542372,0.9661016949152541
19,0,22,4,4,20,3.1315789473684212,0.6129032258064511,0.0,0.0,0.38709677419354804,0.0
18,0,23,21,4,20,3.173076923076923,0.177777777777777,0.0,0.0,0.8222222222222221,0.0
16,0,23,36,0,9,2.6,0.0,0.0,1.0,0.0,0.0
15,0,24,33,0,11,2.522727272727273,0.0,0.0,1.0,0.0,0.0
14,0,19,26,8,26,3.3035714285714284,0.0,0.0,0.849056603773584,0.0,0.150943396226415
13,0,22,35,4,13,1.9622641509433962,0.07142857142857101,0.8571428571428571,0.07142857142857101,0.0,0.0
12,0,23,27,0,25,2.3461538461538463,0.0,0.280701754385964,0.7192982456140351,0.0,0.0
11,0,24,12,27,39,3.2549019607843137,0.0,0.425531914893617,0.0,0.0,0.574468085106383
10,0,23,25,3,24,2.1538461538461537,0.04918032786885201,0.0,0.0,0.31147540983606503,0.639344262295082
8,0,23,20,4,24,1.5769230769230769,0.056603773584905,0.0,0.0,0.283018867924528,0.660377358490566
7,0,23,14,4,30,2.0576923076923075,0.058823529411764004,0.0,0.0,0.17647058823529402,0.764705882352941
6,0,21,21,0,33,1.7962962962962963,0.0,0.33870967741935404,0.0,0.06451612903225801,0.596774193548387
5,0,22,27,9,17,1.8679245283018868,0.36363636363636304,0.324675324675324,0.0,0.0,0.311688311688311
4,0,22,25,0,24,3.020408163265306,0.0,0.0,0.5172413793103441,0.0,0.482758620689655
3,0,22,17,7,29,2.207547169811321,0.53030303030303,0.060606060606060004,0.060606060606060004,0.0,0.348484848484848
2,0,24,11,0,40,2.7254901960784315,0.0,0.45098039215686203,0.23529411764705802,0.0,0.31372549019607804
34,0,20,30,2,19,1.588235294117647,0.0,0.0,0.072727272727272,0.927272727272727,0.0
37,0,18,12,0,45,2.543859649122807,0.22222222222222202,0.0,0.22222222222222202,0.16666666666666602,0.388888888888888
38,0,20,47,4,8,1.8909090909090909,0.0,0.0,0.772727272727272,0.22727272727272702,0.0
56,0,22,31,0,20,2.1132075471698113,0.027027027027027,0.5675675675675671,0.081081081081081,0.324324324324324,0.0
74,0,22,20,0,14,2.652173913043478,0.0,0.0,1.0,0.0,0.0
